2.94,60,721,22500,1530,51500,2.97,60,687,22500,1592,51500,0.39,12.5,,70,0.68,12.5,,70,3.04,70,3.33,70
3,60,767,22750,1698,52000,3.2,60,786,22750,1922,52000,0.51,12.5,,71,0.55,12.5,,71,3.59,70,2.79,70
2.4,60,771,22750,1732,50500,3.65,60,718,22750,1727,50500,0.36,12.5,,68,0.53,12.5,,68,3.39,68,3.13,68
2.45,60,788,22750,1650,51000,3.8,60,744,22750,1822,51000,0.36,12.5,,69,0.55,12.5,,69,3.65,68,2.97,68
1.9,57.5,390,22250,989,51000,2.05,57.5,396,22250,1019,51000,0.34,12,,68,0.35,12,,68,2.1,68,2.11,68
2.22,57,403,22000,1096,52000,1.92,57,417,22000,900,52000,0.34,11.8,,69,0.35,11.8,,69,2.1,69,2.11,69
2.15,57.5,403,22000,1096,52000,2.1,57.5,417,22000,900,52000,0.37,12,,72,0.33,12,,72,1.94,72,2.33,72
2.27,57,461,21750,1073,50500,2.23,57,492,21750,933,50500,0.41,11.8,,69,0.32,11.8,,69,2.49,69,1.99,69
2.65,58,457,21750,951,50500,2.63,58,524,21750,1021,50500,0.37,12,,70,0.36,12,,70,2.24,70,2.23,70
2.8,56,512,21750,1359,50000,2.5,56,524,21750,1326,50000,0.4,12,,69,0.37,12,,69,2.38,69,2.37,69
2.85,56,580,21750,956,50500,2.67,56,635,21750,1111,50500,0.49,12,,70,0.3,12,,70,2.4,70,2.4,70
2.85,56.5,580,21750,956,50500,2.75,56.5,635,21750,1111,50500,0.4,12.2,,70,0.4,12.2,,70,2.71,70,2.19,70
2.9,56,580,21250,956,50000,2.75,56,635,21250,1111,50000,0.44,12.2,,70,0.4,12.2,,70,2.66,70,2.32,70
2.92,56,580,21250,956,50000,2.8,56,635,21250,1111,50000,0.36,12,,69,0.53,12,,69,2.81,69,2.9,69
2.9,55,580,21250,956,50000,3.1,55,635,21250,1111,50000,0.58,11.5,,69,0.39,11.5,,69,3.54,68,2.62,68
2.42,55,861,21250,1341,50000,3.95,55,813,21250,1423,50000,0.44,12,,69,0.58,12,,69,2.75,70,3.29,70
3.1,55,861,21000,1341,49000,3.2,55,813,21000,1423,49000,0.44,12,,69,0.58,12,,69,2.77,70,3.35,70
2.32,55,861,21000,1341,49000,3.9,55,813,21000,1423,49000,0.4,12,,68,0.65,12,,68,3.33,68,3.17,68
4.1,50,910,21250,1451,51000,2.22,50,958,21250,1509,51000,0.75,11.5,,70,0.38,11.5,,70,3.25,70,3.07,70
3.9,50,910,21250,1451,51000,2.42,50,958,21250,1509,51000,0.5,12,,72,0.58,12,,72,3.01,72,3.39,72
3.9,50,910,21000,1451,51000,2.47,50,958,21000,1509,51000,0.71,11.5,,71,0.48,11.5,,71,2.95,72,3.61,72
3.1,50,910,21250,1451,51500,2.92,50,958,21250,1509,51500,0.43,12,,76,0.69,12,,76,1.52,76,5.48,76
3,50,910,21250,1451,51500,3,50,958,21250,1509,51500,0.78,11.5,,77,0.42,11.5,,77,1.68,76,5.19,76
3.35,50,910,21250,1451,51500,2.9,50,958,21250,1509,51500,0.56,12,,77,0.57,12,,77,1.73,76,5.27,76
3.4,50,910,21250,1451,51500,3.05,50,958,21250,1509,51500,0.54,12,,76,0.64,12,,76,1.52,76,5.95,76
3.4,50,895,21250,1425,51500,3.05,50,989,21250,1610,51500,0.54,12,,77,0.64,12,,77,1.79,76,6.04,76
3.5,49,607,20500,699,50500,2.97,49,579,20500,639,50500,0.59,11.5,,75,0.62,11.5,,75,1.45,76,6.92,76
1.6,50,607,20500,699,50500,1.7,50,579,20500,639,50500,0.36,11.4,,74,0.38,11.4,,74,0.72,74,4.75,74
2.05,49,593,20750,737,50500,1.75,49,627,20750,694,50500,0.37,11.6,,75,0.37,11.6,,75,0.87,75,4.82,75
2.11,49,627,20500,919,50500,2,49,658,20500,811,50500,0.41,11.6,,76,0.45,11.6,,76,0.67,76,5.01,76
2.25,50,639,20750,979,51000,1.85,50,699,20750,871,51000,0.42,11.8,,78,0.41,11.8,,78,0.57,78,5.26,78
2.25,50,677,21000,770,52500,2.07,50,678,21000,1009,52500,0.41,11.8,,76,0.46,11.8,,76,1.06,76,4.84,76
2,49,677,21000,770,52500,2,49,678,21000,1009,52500,0.48,12,,80,0.4,12,,80,0.96,80,4.95,80
1.76,47,726,20750,1182,52000,1.88,47,659,20750,991,52000,0.48,11.8,,79,0.44,11.8,,79,0.92,79,5.06,79
1.65,46,712,20750,1289,52000,2,46,643,20750,1088,52000,0.38,12,,78,0.6,12,,78,1.4,78,4.58,78
1.75,45,705,20750,1257,51500,2.17,45,765,20750,1111,51500,0.6,11.5,,77,0.44,11.5,,77,1.28,78,5.79,78
2,44,781,21000,1286,51500,2.13,44,747,21000,1139,51500,0.5,12,,76,0.66,12,,76,1.78,76,5.01,76
1.75,44,956,21000,1709,52000,2.32,44,901,21000,1750,52000,0.53,12,,78,0.65,12,,78,1.51,78,5.53,78
2.1,43,987,21000,1715,50500,2.22,43,1019,21000,1625,50500,0.54,12,,75,0.78,12,,75,1.52,76,5.85,76
2.27,42,770,21000,1553,51000,2.1,42,743,21000,1483,51000,0.67,12,,76,0.71,12,,76,1.9,76,5.47,76
2.55,40,770,21000,1553,51000,2.15,40,743,21000,1483,51000,0.92,11.5,,76,0.54,11.5,,76,1.92,76,5.1,76
2.32,42,853,21500,1659,51000,2.07,42,838,21500,1459,51000,0.61,12.5,,77,0.79,12.5,,77,1.57,78,5.74,78
2.22,42,857,22000,1498,52000,2.2,42,934,22000,1619,52000,0.79,12.5,,79,0.65,12.5,,79,2.04,78,5.01,78
2.5,42,867,22250,1658,52000,2.07,42,908,22250,1557,52000,0.64,13,,79,0.77,13,,79,2.06,78,5.14,78
2.2,42,920,22250,1497,53000,2.05,42,999,22250,1597,53000,0.6,13,,80,0.75,13,,80,1.97,80,5.46,80
2.45,41,833,21500,1647,52500,2.08,41,824,21500,1640,52500,0.58,12.5,,79,0.78,12.5,,79,2.48,78,5.55,78
2.65,41,874,22500,1855,53000,2.05,41,995,22500,1622,53000,0.64,13,,81,0.73,13,,81,2.5,80,5.52,80
2.4,41,930,21500,1647,52000,2.35,41,1039,21500,1895,52000,0.56,12.5,,78,0.83,12.5,,78,2.44,78,5.81,78
2.1,41,730,20500,1737,51500,2.25,41,641,20500,1786,51500,0.51,12,,77,0.85,12,,77,2.85,76,5.53,76
1.65,40,557,20000,1579,52500,1.42,40,452,20000,1337,52500,0.4,11.4,,74,0.5,11.4,,74,3.18,74,2.93,74
1.77,40.5,547,20500,1624,54000,1.52,40.5,530,20500,1429,54000,0.47,11.6,,76,0.39,11.6,,76,3.45,76,2.93,76
1.78,40.5,568,19750,1556,53500,1.6,40.5,455,19750,1422,53500,0.42,11.2,,75,0.46,11.2,,75,3.27,75,3.35,75
1.6,40.5,515,19500,1829,55000,1.75,40.5,549,19500,1893,55000,0.52,10.8,,77,0.38,10.8,,77,3.45,77,3.17,77
1.95,40,495,19250,1705,54500,1.67,40,573,19250,1877,54500,0.46,10.5,,74,0.49,10.5,,74,3.7,74,3.48,74
1.95,40,557,19000,1724,53500,1.67,40,602,19000,1754,53500,0.46,10.5,,74,0.49,10.5,,74,3.7,74,3.48,74
1.67,41,621,19250,1764,53000,2.05,41,564,19250,1610,53000,0.51,10.8,,74,0.47,10.8,,74,3.87,74,3.55,74
2.1,41,626,19500,1903,54500,1.77,41,711,19500,1717,54500,0.54,10.8,,76,0.46,10.8,,76,4.02,76,3.53,76
1.85,41,684,19000,1501,53000,2.07,41,770,19000,1579,53000,0.51,10.4,,73,0.51,10.4,,73,3.78,73,4.08,73
